title,released,year set,years elapsed,decade,medium,genre,author,wikidataID
Guirlanden um Die Urnen der Zukunft,1800,2200,400,1800,fiction,futuristic fiction,,http://www.wikidata.org/entity/Q64452611
Die Schwarzen Brüder,1793,2222,429,1790,fiction,futuristic fiction,Heinrich Zschokke,http://www.wikidata.org/entity/Q64452513
Revelation Space,2000,2500,500,2000,fiction,science fiction novel,Alastair Reynolds,http://www.wikidata.org/entity/Q1759977
Omega: The Last Days of the World,1894,2400,506,1890,fiction,science fiction novel,Camille Flammarion,http://www.wikidata.org/entity/Q7089969
Holland in the Year 2440,1777,2440,663,1770,fiction,futuristic fiction,Betje Wolff,http://www.wikidata.org/entity/Q64472284
"L’An 2440, rêve s´il en fut jamais",1771,2440,669,1770,fiction,science fiction novel,Louis-Sébastien Mercier,http://www.wikidata.org/entity/Q82530
Bill & Ted's Excellent Adventure,1989,2688,699,1980,film,science fiction film,,http://www.wikidata.org/entity/Q795042
Bill & Ted's Bogus Journey,1991,2691,700,1990,film,science fiction film,,http://www.wikidata.org/entity/Q795040
Das Jahr 2500,1798,2500,702,1790,fiction,futuristic fiction,Daniel Gottlieb Gebhard Mehring,http://www.wikidata.org/entity/Q64474255
In the World of the Future,1892,2700,808,1890,fiction,futuristic fiction,Nikolai Shelonsky,http://www.wikidata.org/entity/Q64495746
Au XXIXe siècle. La journée d’un journaliste américain en 2889.,1889,2800,911,1880,fiction,futuristic fiction,Jules Verne,http://www.wikidata.org/entity/Q64531968
Dans mille ans,1884,2800,916,1880,fiction,futuristic fiction,Emile Calvet,http://www.wikidata.org/entity/Q64494861
Mellonta Tauta,1849,2800,951,1840,fiction,futuristic fiction,Edgar Allan Poe,http://www.wikidata.org/entity/Q17636369
Plausible Fantasies or a Journey in the 29th century,1824,2800,976,1820,fiction,futuristic fiction,Faddey Bulgarin,http://www.wikidata.org/entity/Q19211015
Le Monde tel qu'il sera,1846,3000,1154,1840,fiction,futuristic fiction,Émile Souvestre,http://www.wikidata.org/entity/Q3224728
Het toekomende jaar 3000,1793,3000,1207,1790,fiction,futuristic fiction,Arend Fokke Simonsz,http://www.wikidata.org/entity/Q64448798
3448 A.D.: a manuscript by Martin Zadek,1833,3448,1615,1830,fiction,futuristic fiction,Alexander Veltman,http://www.wikidata.org/entity/Q64449163
Le Monde dans deux mille ans,1878,3878,2000,1870,fiction,futuristic fiction,Georges Pellerin,http://www.wikidata.org/entity/Q64494838
The Year 4338: Petersburg Letters,1926,4338,2412,1920,fiction,science fiction novel,Vladimir Odoevsky,http://www.wikidata.org/entity/Q7776570
L’an 5865 ou Paris dans 4000 ans,1865,5865,4000,1860,fiction,futuristic fiction,Hippolyte Mettais,http://www.wikidata.org/entity/Q64529748
Paris en 5839,1822,5839,4017,1820,fiction,futuristic fiction,Félix Bodin,http://www.wikidata.org/entity/Q64457296
"The Air Battle, A Vision of the Future",1859,6900,5041,1850,fiction,futuristic fiction,Herrmann Lang,http://www.wikidata.org/entity/Q64456182
Anno 7603,1781,7603,5822,1780,fiction,futuristic fiction,Johan Herman Wessel,http://www.wikidata.org/entity/Q3443600
Archeopolis,1859,9000,7141,1850,fiction,futuristic fiction,Alfred Bonnardot,http://www.wikidata.org/entity/Q64456379
Pebble in the Sky,1950,12411,10461,1950,fiction,science fiction novel,Isaac Asimov,http://www.wikidata.org/entity/Q382862
House of Suns,2008,6200000,6197992,2000,fiction,science fiction novel,Alastair Reynolds,http://www.wikidata.org/entity/Q3736382
